Name,Purpose,Quantity,Total Cost (USD),Distributor,Link
Cane, Used as the main walking assist for Parkinson patients and will hold the main project,1,  10.10, Amazon.eg, https://www.amazon.eg/-/en/supregear-Adjustable-Lightweight-Portable-T-Handle/dp/B0BBGM9QTB/ref=sr_1_7?crid=2HW58QYSGD6QN&dib=eyJ2IjoiMSJ9.q5JzQEz_A8y0yu8zR7qHTjYooiHdaLqPadj3acVmEtA_SyLoQf4W_UOmbpjdWdSuvvtQT0dXxodvLl-trmAU3TQGeGFYSI7Kop4nK1XrTf3WWeBAasoC3Uujn9kPsK2hYIkOMKDu0qjjJDYmSHpHnjObyNLMebTKcgY8fcuVmf87n840TBOPPEqL7wqX0sw67HkB7DMx4_5injK0B7vPjIjkfdNxksj0l3830Qi8csDmm5jrmn4jfAHuIPofHWoNHOLmpibiQ_inJ0uqT6W56qGpKc7xxkNmBgjUdZzCSLY.lEWNKsYO_2VCKE53W6PeptVIKsDId9dbOZSn96UECf0&dib_tag=se&keywords=Cane&qid=1785898029&sprefix=cane%2Caps%2C215&sr=8-7
ESP32 Board, "The main system (MCU) ""The Brain Of the Game""", 2, 21.60, Makers Electronics, https://makerselectronics.com/product/esp32-s3-n16r8-development-board/
MPU 6050 IMU Sensor, To sense the change in the patient's body vibrations and orientations detecting (FoG) or fall, 2, 3.92, Makers Electronics, https://makerselectronics.com/product/mpu-6050-imu-sensor-module-with-6-dof-gyroscope-accelerometer/
IRLZ44 N-Channel MOSFET, Conrols the Laser state, 1, 0.78, Makers Electronics, https://makerselectronics.com/product/irlz44-n-channel-mosfet-transistor/
Beam Laser Emitter, Provides a visual cue for the patient to overcome the FoG state, 1, 1.86, Makers Electronics, https://makerselectronics.com/product/laser-emitter-red-line-650nm-12vdc/
Passive Buzzer, Provides sound cue for the patient to overcome the FoG state, 1, 0.16, Makers Electronics, https://makerselectronics.com/product/passive-buzzer-5v-42%cf%892048hz-12x8-5mm/
Rechargeable Battery 3.7V, Provides power for the system, 2, 3.34, MTM Electronics, https://mtm-electronic.com/products/4846
MT3608 Step up Converter, Converts the battery voltage to the operating voltage of the laser (12VDC), 1, 0.50,  Makers Electronics ,https://makerselectronics.com/product/mt3608-dc-dc-step-up-2a/
TP4056 TYPE-C, A battery charging board module to enable charging the system's battry, 2, 0.71, Makers Electronics, https://makerselectronics.com/product/tp4056-type-c-lithium-charging-module/
1 Cell 18650 Battery Holder, Holds the battery in place (on the PCB), 2, 2.75, Amazon.eg ,https://www.amazon.eg/-/en/gp/product/B0D42C3775/ref=ewc_pr_img_4?smid=A22MDF17B7GE04&psc=1
